거래일시,카드사,카드번호,승인번호,거래구분,공급가액,부가세,합계,할부
2025-01-01 14:17:44,현대,9440-41**-****-9751,31931511,승인,27273,2727,30000,00
2025-01-01 16:09:13,삼성,9430-55**-****-2584,56164955,승인,36364,3636,40000,00
2025-01-01 17:01:05,신한,5563-81**-****-1434,36687537,승인,40909,4091,45000,00
2025-01-01 18:17:59,신한,4563-39**-****-1916,14308421,승인,22727,2273,25000,00
2025-01-01 19:44:34,신한,9411-99**-****-3615,66722344,승인,50000,5000,55000,00
2025-01-01 19:51:02,KB국민,4569-80**-****-2291,49349722,승인,50000,5000,55000,00
2025-01-01 20:15:14,롯데,4280-21**-****-9935,89254563,승인,40909,4091,45000,00
2025-01-01 20:39:56,KB국민,5370-47**-****-4733,20709497,승인,45455,4545,50000,00
2025-01-01 21:55:06,신한,4563-57**-****-3664,57683626,승인,50000,5000,55000,00
2025-01-02 10:46:56,하나,9480-23**-****-9317,93926371,승인,36364,3636,40000,00
2025-01-02 11:58:36,신한,4563-92**-****-7482,71586053,승인,36364,3636,40000,00
2025-01-02 13:08:15,KB국민,4569-56**-****-7543,39436733,승인,45455,4545,50000,00
2025-01-02 13:27:22,KB국민,9420-96**-****-1887,97705310,승인,16364,1636,18000,00
2025-01-02 14:08:46,KB국민,4569-34**-****-7669,22660194,승인,45455,4545,50000,00
2025-01-02 15:57:02,삼성,9410-95**-****-5562,75151231,승인,36364,3636,40000,00
2025-01-02 16:37:35,KB국민,5370-90**-****-2163,17901903,승인,31818,3182,35000,00
2025-01-02 16:40:32,신한,9411-77**-****-9837,10076758,승인,45455,4545,50000,00
2025-01-02 18:08:27,신한,9411-66**-****-2235,83863413,승인,7273,727,8000,00
2025-01-02 18:35:10,KB국민,5370-98**-****-9835,36998038,승인,45455,4545,50000,00
2025-01-02 19:24:24,하나,5320-97**-****-1188,25374874,승인,54545,5455,60000,00
2025-01-02 19:25:42,KB국민,5370-38**-****-5061,18593410,승인,45455,4545,50000,00
2025-01-02 19:31:01,NH,4547-17**-****-4923,42329237,승인,36364,3636,40000,00
2025-01-02 19:34:48,롯데,5284-30**-****-8123,70897765,승인,45455,4545,50000,00
2025-01-02 21:05:05,BC,6243-26**-****-3060,98550256,승인,50000,5000,55000,00
2025-01-02 22:06:03,롯데,9450-34**-****-5073,35529407,승인,16364,1636,18000,00
2025-01-02 22:08:32,삼성,9410-97**-****-3621,66661351,승인,50000,5000,55000,03
2025-01-03 10:47:59,롯데,4280-44**-****-5065,31367172,승인,59091,5909,65000,00
2025-01-03 11:05:26,NH,5765-40**-****-6147,45650176,승인,59091,5909,65000,00
2025-01-03 11:23:57,NH,9470-95**-****-5088,23796726,승인,36364,3636,40000,00
2025-01-03 13:56:44,KB국민,9420-65**-****-3426,27105448,승인,45455,4545,50000,00
2025-01-03 14:16:02,KB국민,4569-65**-****-6139,91363974,승인,40909,4091,45000,00
2025-01-03 15:28:53,현대,6011-11**-****-9666,99639081,승인,54545,5455,60000,00
2025-01-03 15:58:54,삼성,9430-15**-****-5533,10475894,승인,36364,3636,40000,00
2025-01-03 16:03:37,롯데,9450-84**-****-1821,73993471,승인,36364,3636,40000,00
2025-01-03 16:08:40,삼성,5765-81**-****-8007,11297845,승인,54545,5455,60000,00
2025-01-03 16:35:56,하나,9480-32**-****-3662,65337219,승인,63636,6364,70000,00
2025-01-03 16:50:55,신한,4563-45**-****-6378,19317495,승인,50000,5000,55000,00
2025-01-03 17:24:16,신한,5563-29**-****-8973,35487660,승인,72727,7273,80000,00
